"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"266675",1310.31867325474,-5.58028458812705,0.573823620743434,3.38433759411997e-33,6.70369590643283e-29,"BEST4"
"92736",576.189497027225,-6.82629760160664,0.804506658724947,5.03854124329836e-32,4.9901712473627e-28,"OTOP2"
"766",1159.97932460823,-5.01278182463822,0.565895726904221,1.09282232733001e-27,7.21554155325098e-24,"CA7"
"3624",594.946901866232,4.94480642498354,0.545428666768419,4.92091082310929e-27,2.43683503960372e-23,"INHBA"
"144501",467.641276546014,5.70503178949355,0.62747606275127,8.80032639095296e-27,3.48633730303993e-23,"KRT80"
"2118",1075.4202029099,4.04951144297178,0.434540809706899,1.03991941567292e-25,3.43312063094154e-22,"ETV4"
"7472",88.0761686660352,6.23522437160605,0.758134650080383,1.25427980273885e-25,3.54925347609303e-22,"WNT2"
"6689",981.443531658338,-4.2343895448222,0.512025068571542,1.90149379705767e-23,4.7080986415148e-20,"SPIB"
"11082",126.516517731392,4.96160961331604,0.607906301173826,9.64486665304655e-23,2.12272798515051e-19,"ESM1"
"4312",598.500338917367,4.59201694588735,0.591151475749489,1.08207644957663e-22,2.14337703132138e-19,"MMP1"
"100288077",154.913839117008,4.29248275212681,0.529753956098573,1.22584090391927e-22,2.20740514771208e-19,"WTAPP1"
"8038",294.150153420089,3.62435008998599,0.423109920284559,5.84936022005166e-22,9.65534393656527e-19,"ADAM12"
"1301",475.476570747598,4.70856477749792,0.580357371453832,9.53804501528631e-22,1.45330458202147e-18,"COL11A1"
"9076",1576.72946408256,3.66641068729995,0.448214425222173,3.13366067855466e-21,4.43368219434362e-18,"CLDN1"
"1001",947.19321296762,4.37855764790306,0.563820160095419,1.05608847594823e-20,1.39460003543884e-17,"CDH3"
"1469",373.102663993549,5.70938149258747,0.788984343225974,4.35599437091421e-20,5.39272103119179e-17,"CST1"
"57167",68.573635803986,3.15561645386621,0.382463902707126,2.28899718823441e-19,2.66708566497336e-16,"SALL4"
"4314",275.994824546674,4.70834171761504,0.718528991143041,2.58854798802316e-19,2.84855325259793e-16,"MMP3"
"51330",953.883047472626,2.37215001923814,0.288557535828743,3.93720807102277e-19,4.10464302477995e-16,"TNFRSF12A"
"115908",459.302578371585,3.53592173096573,0.448502726881516,5.26255943123183e-19,5.212038860692e-16,"CTHRC1"
"1300",272.61099111469,5.17873068797561,0.702325640041817,6.5247331140186e-19,6.15437683440383e-16,"COL10A1"
"1311",276.23618293095,6.08979211216925,0.886754010699905,9.92144086922078e-19,8.93290457897841e-16,"COMP"
"343",4774.02444898043,-4.8502080636252,0.814945012646273,1.342362220513e-18,1.15606568973572e-15,"AQP8"
"2191",224.95585644043,3.57685021942616,0.47487653917292,1.80935536875821e-18,1.49332129768178e-15,"FAP"
"8614",422.988900106743,3.55036205632641,0.483125329891605,1.82541333388882e-17,1.44631149270679e-14,"STC2"
"100190940",127.931889457998,4.95059303210397,0.765600277177744,2.29959036388956e-17,1.75193407415094e-14,"LINC02418"
"2906",337.230000683266,3.6295748312253,0.520659695007152,2.55913117123508e-17,1.87745445332683e-14,"GRIN2D"
"4316",908.339586925959,4.70658063614755,0.705935167853978,2.76732955761844e-17,1.95768799561807e-14,"MMP7"
"81792",364.801672853129,3.02044396045101,0.413898568129436,3.15435927241825e-17,2.15453615407106e-14,"ADAMTS12"
"94234",652.478790938359,4.08444424074969,0.577431782867124,5.42389932386001e-17,3.58121992690064e-14,"FOXQ1"
"10669",356.675550809324,2.29566136876095,0.306331972444872,7.89221429611338e-17,5.04287034765851e-14,"CGREF1"
"57214",1574.00626335571,3.39927881418967,0.476483098671057,9.53933424274171e-17,5.90484789625712e-14,"CEMIP"
"56938",298.365456060932,1.78491354118805,0.235261844181815,1.76689052980141e-16,1.06056265497898e-13,"BMAL2"
"3576",1434.06791403168,3.6193075211117,0.559153466442699,2.19338516532894e-16,1.27784039278929e-13,"CXCL8"
"27132",449.202582371858,4.02286314539733,0.638273819050383,2.52428683520916e-16,1.42860210376637e-13,"CPNE7"
"100507056",179.213670927155,3.52176240674056,0.500757744444657,3.34117098813974e-16,1.83838652591866e-13,"CCAT1"
"221416",817.590443712129,4.14445550567316,0.624995352732499,3.45183469610454e-16,1.84794436920105e-13,"LINC03040"
"347741",27.4431202475725,-7.39128577466956,1.23980781987469,5.16804114453351e-16,2.69390944712947e-13,"OTOP3"
"253152",56.6088193250088,3.61445167361264,0.522860231115673,5.58697248406403e-16,2.83760899908565e-13,"EPHX4"
"3651",298.036812142275,3.55539139260996,0.54063167957229,7.04653085280509e-16,3.48944207830908e-13,"PDX1"
"105378828",701.370703106701,-3.7956953906223,0.644875873063959,8.53933672595377e-16,4.02731385399267e-13,"CLCA4-AS1"
"7004",331.055513458846,1.81017016403523,0.241845270393735,8.43440319734759e-16,4.02731385399267e-13,"TEAD4"
"9429",414.294479255338,-3.00762233622954,0.453394287669307,1.34328431165639e-15,6.18785480123016e-13,"ABCG2"
"27123",60.1365052816589,4.59839289346619,0.739565327339115,1.39688533638122e-15,6.2885238052362e-13,"DKK2"
"2981",758.156056811365,-4.44640666192658,0.966594912533213,1.64801974023121e-15,7.25421666988884e-13,"GUCA2B"
"107986554",207.070452270768,3.94583665721235,0.596852147003283,1.89003691862362e-15,8.13866332262973e-13,NA
